from,to,weight,season
Mainz,1,50,2021
Nürnberg,33,3,2019
Stuttgart,42,,2021
Arsenal,5,30,2022
Hannover,2,40,2020
Júbilo,37,1,2021
Zagreb,24,60,2018
Freiburg,15,13,2020
Hamburg,23,55,2018
Truiden,3,17,2020
Kiel,16,8,2019
Juventus,32,15,2021
Chelsea,6,4,2019
Monaco,8,18,2021
Sandhausen,28,,2020
Paris,14,80,2019
Bielefeld,30,25,2018
Düsseldorf,11,,2019
Sandhausen,20,30,2019
Instituto,31,17,2019
Stuttgart U,25,,2020
Fenerbahce,34,,2021
Wolfsburg,10,,2018
Paris SG,7,,2019
Paderborn,22,25,2021
Admira,9,18,2019
Sporting,18,5,2021
Wolfsburg,17,,2021
Vejle,19,45,2021
Stuttgart U,50,,2021
Stuttgart,44,,2021
1,Deutschland,,
33,Deutschland,,
42,Deutschland,,
5,Griechenland,,
2,Usbekistan,,
37,Japan,,
24,Kroatien,,
15,Deutschland,,
23,Belgien,,
3,Japan,,
16,Deutschland,,
32,Frankreich,,
6,England,,
8,Frankreich,,
28,Dänemark,,
14,DR Kongo,,
30,Deutschland,,
11,Deutschland,,
20,Deutschland,,
31,Argentinien,,
25,Deutschland,,
34,Türkei,,
10,Deutschland,,
7,Frankreich,,
22,Deutschland,,
9,Österreich,,
18,Portugal,,
17,Ägypten,,
19,Dänemark,,
50,Frankreich,,
44,Niederland,,